"","S","rule","N","B","L","nEvents","tk","tK","AHRk.H1","AHRK.H1","H0.AE","H0.AN","H0.AL","H0AER","H0.ANR","H0ALR","qk","cpk","ahrk","etak","ppk","pr.S","pow.nbind","pow.bind","powloss"
"23","NPH(3,1.3,0.6295)","CP1AE.NPH(3,1.3,0.6295)",680,34,47.8338497615028,508,29.0801155636353,47.8323266598184,0.815425957516648,0.750005513108437,373.164341144568,606.967229606101,34.2430734576619,0.734575474694031,0.892598867067795,0.715875339919245,0.55,0.31,0.973191508901432,-0.227113556269014,0.0276992118758949,0.589832278457708,0.900072622673464,0.870271435163661,0.0298011875098022
"24","NPH(3,1.3,0.6295)","CP1AE.NPH(6,1.0,0.623)",680,34,47.8338497615028,508,28.7415692219784,47.8323266598184,0.816700758010706,0.750005513108437,367.45788055517,601.700139686947,33.8695955494983,0.723342284557421,0.884853146598451,0.708067523696511,0.54,0.34,0.96943702113982,-0.257049750530903,0.0325143295198597,0.60142981617952,0.900072622673464,0.864648896056146,0.0354237266173176
"25","NPH(6,1,0.623)","Wieand1",680,34,47.7797501378515,508,27.385703278979,47.7752572096148,0.814501439773127,0.750016715454733,381,602.009643763798,34.8481887637737,0.75,0.885308299652644,0.729350586037635,0.5,0.315841712736934,1,0,0.025,0.5,0.900043094771391,0.878929229097008,0.021113865674383
"26","NPH(6,1,0.623)","KF1",680,34,47.7797501378515,508,27.385703278979,47.7752572096148,0.814501439773127,0.750016715454733,381,602.009643763798,34.8481887637737,0.75,0.885308299652644,0.729350586037635,0.5,0.315841712736934,1,0,0.025,0.5,0.900043094771391,0.878929229097008,0.021113865674383
"27","NPH(6,1,0.623)","OF1",680,34,47.7797501378515,508,21.2823868882436,47.7752572096148,0.842752990140561,0.750016715454733,337.180503662426,543.541783586375,31.8831272556844,0.663741148941783,0.799326152332905,0.66729372095285,0.333333333333333,0.600412247991091,0.998310787114205,-0.011,0.0840822487625472,0.504388276587326,0.900043094771391,0.810463530611741,0.0895795641596502
"28","NPH(6,1,0.623)","Xi1",680,34,47.7797501378515,508,23.8136152161544,47.7752572096148,0.829524653527631,0.750016715454733,298.318006182421,526.534426057668,29.2899259184261,0.587240169650434,0.774315332437746,0.613019654433528,0.4,0.648410483948146,0.933561293918785,-0.49,0.115026844764184,0.687933050582609,0.900043094771391,0.76279611965359,0.137246975117801
"29","NPH(6,1,0.623)","CP1AE.PH(0.75)",680,34,47.7797501378515,508,24.5472024731093,47.7752572096148,0.826128077220238,0.750016715454733,299.748514110242,532.05596686126,29.3868556095313,0.590056130138272,0.782435245384205,0.615048331662388,0.42,0.64,0.928213251747767,-0.544059616664899,0.114124400505908,0.706799775623669,0.900043094771391,0.766261191432952,0.133781903338439
"30","NPH(6,1,0.623)","CP1AE.NPH(3,1.0,0.6938)",680,34,47.7797501378515,508,26.3377299397913,47.7752572096148,0.818537924255878,0.750016715454733,336.282004874031,567.950549599513,31.8368816903794,0.661972450539431,0.835221396469872,0.666325830472646,0.47,0.5,0.955393194489519,-0.352551981892715,0.0650516843609548,0.637787829170885,0.900043094771391,0.833905771644562,0.0661373231268291
"31","NPH(6,1,0.623)","CP1AE.NPH(3,1.3,0.6295)",680,34,47.7797501378515,508,29.0942947314247,47.7752572096148,0.808488237826469,0.750016715454733,373.164341144568,606.96721173972,34.2430725643031,0.734575474694031,0.892598840793705,0.716685886081592,0.55,0.31,0.973191508901432,-0.227113556269014,0.0276992118758949,0.589832278457708,0.900043094771391,0.875629252363557,0.0244138424078334
"32","NPH(6,1,0.623)","CP1AE.NPH(6,1.0,0.623)",680,34,47.7797501378515,508,28.7560725752684,47.7752572096148,0.809627624051689,0.750016715454733,367.45788055517,601.700124234258,33.8695947768252,0.723342284557421,0.884853123873909,0.708869231821149,0.54,0.34,0.96943702113982,-0.257049750530903,0.0325143295198597,0.60142981617952,0.900043094771391,0.870832180566632,0.0292109142047587
